"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C8,C9,C7,C17";"C-0805";4;"1uF";;;
2;"C15,C18";"CP_Elec_6.3x5.4";2;"22uF";;;
3;"J4";"SAMTEC_USB-B-S-X-X-TH";1;"USB-B";;;
4;"C20";"CP_Elec_8x10.5";1;"470uF";;;
5;"U5";"SOIC_8403DR_PAM8403-M";1;"PAM8403DR";;;
6;"C12";"C-0805";1;".1uF";;;
7;"C3,C4";"CP_Elec_4x5.4";2;"3.3uF";;;
8;"U1";"2mm_2row_esp32_breakout";1;"~";;;
9;"J2";"JST_B2B-PH";1;"Audio_R";;;
10;"R14,R1,R8,R2,R6";"R-0805";5;"10k";;;
11;"U4";"CH430C_SOP16";1;"CH340C";;;
12;"S2,S1";"SW_4pin_SMD";2;"1571527-2";;;
13;"R7,R5";"R-0805";2;"560";;;
14;"R4,R3";"R-0805";2;"267k";;;
15;"C5,C6";"C-0805";2;"6nF";;;
16;"U2";"SOT_AMS_ADS-M";1;"AMS1117";;;
17;"U3";"CIR-SOIC-8_W150-M";1;"CS4334-KSZ";;;
18;"Q1,Q2";"SOT-23";2;"MMBT3904";;;
19;"R12,R13";"R-0805";2;"22k";;;
20;"C1,C2";"C-0805";2;"0.1uF";;;
21;"C21,C10";"C-0805";2;"0.47uF";;;
22;"C19,C14";"C-0805";2;"100nF";;;
23;"R10,R11";"R-0805";2;"20k";;;
24;"J3";"JST_B2B-PH";1;"Audio_L";;;
